25/08/19 02:05:42 14.160 -90.500 170 4.2 C  25 Km al suroeste de Cuilapa, Guatemala
25/08/19 08:59:20 14.100 -89.850   5 2.2 C  20 Km al norte de Ahuachapan, El Salvador
25/08/19 09:00:37 14.110 -89.860   4 2.4 C  20 Km al sur de Jutiapa, Guatemala
25/08/19 08:39:32 12.660 -88.730  15 3.0 C  67 Km al sur de Delta del Rio Lempa, El Salvador
25/08/19 10:57:21 12.870 -89.810  16 3.4 C  80 Km al sur de Acajutla, El Salvador
25/08/19 10:57:21 12.870 -89.800  13 3.3 C  80 Km al sur de Acajutla, El Salvador
25/08/19 14:55:28 12.860 -88.770  35 2.7 C  44 Km al sur de Delta del Rio Lempa, El Salvador
25/08/19 14:55:28 12.870 -88.770  36 2.8 C  43 Km al sur de Delta del Rio Lempa, El Salvador
25/08/19 15:36:29 13.930 -89.460   5 1.9 A  12 Km al sureste de Santa Ana, El Salvador
25/08/19 15:36:15 13.180 -89.870  18 2.9 C  46 Km al sur de Acajutla, El Salvador
25/08/18 15:59:04  8.460 -83.760   7 3.0 C  27 Km al oeste de Playa Madrigal, Costa Rica
25/08/19 16:04:44 12.610 -88.170  28 3.9 C  62 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/19 16:04:44 12.580 -88.190  30 3.8 C  65 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/19 00:47:09 12.880 -89.800   8 2.5 C  79 Km al sur de Acajutla, El Salvador
25/08/19 18:42:38 16.150 -93.180 101 3.8 C  49 Km al norte de San Isidro, México
25/08/19 18:42:38 16.140 -93.150 108 3.9 C  49 Km al noreste de San Isidro, México
25/08/19 19:14:43 14.450 -90.580   2 2.2 C  20 Km al sur de Guatemala, Guatemala
25/08/19 19:28:17 14.510 -90.620   4 2.3 C  13 Km al norte de Antigua Guatemala, Guatemala
25/08/19 19:43:37 13.080 -89.140  28 2.6 C  39 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/19 20:45:46 12.970 -89.630  22 2.9 C  66 Km al suroeste de La Libertad, El Salvador
25/08/19 22:26:28 13.080 -89.270  30 2.7 C  45 Km al sur de La Libertad, El Salvador
25/08/19 23:01:47 13.000 -89.090  33 2.4 C  40 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/20 00:29:47 13.510 -92.580  11 3.3 C 113 Km al suroeste de Champerico, Guatemala
25/08/20 00:29:47 13.510 -92.580  11 3.5 C 113 Km al suroeste de Champerico, Guatemala
25/08/20 00:53:09 14.100 -89.820   5 2.6 C  20 Km al norte de Ahuachapan, El Salvador
25/08/20 01:03:04 13.640 -89.010   9 2.1 A   2 Km al noreste de San Miguel Tepezontes, El Salvador
25/08/20 01:03:04 13.660 -89.020   7 2.3 C   4 Km al norte de San Miguel Tepezontes, El Salvador
25/08/20 03:24:25 14.410 -90.710   3 3.3 C  15 Km al noreste de Escuintla, Guatemala
25/08/20 04:57:06 12.920 -89.310  12 3.1 A  63 Km al sur de La Libertad, El Salvador
25/08/20 04:57:03 12.640 -89.350  19 3.2 C  89 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/20 04:57:03 12.630 -89.380  16 3.3 C  92 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/20 06:53:48 12.500 -88.200  35 3.1 C  72 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/20 07:50:07 11.740 -89.980  91 3.4 A 206 Km al sur de Acajutla, El Salvador
25/08/20 07:50:13 12.330 -89.810   5 3.1 C 139 Km al sur de La Libertad, El Salvador
25/08/20 11:01:48 17.240 -94.570 110 4.5 C 136 Km al noreste de Salina Cruz, México
25/08/20 12:33:20 13.510 -90.900  76 3.5 A  51 Km al suroeste de Iztapa, Guatemala
25/08/20 12:33:14 13.230 -91.070   7 3.7 C  78 Km al sur de Sipacate, Guatemala
25/08/17 06:43:07 12.900 -86.590   2 1.9 C   6 Km al oeste de El Sauce, Nicaragua
25/08/19 04:51:02 12.590 -88.080  27 2.4 C  55 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/20 14:44:07 12.700 -88.730  35 3.0 C  63 Km al sur de Delta del Rio Lempa, El Salvador
